"","od_death_2024","od_death_2025","od_death_2026","Barrington","Bristol","Burrillville","Central.Falls","Charlestown","Coventry","Cranston","Cumberland","East.Greenwich","East.Providence","Exeter","Foster","Glocester","Hopkinton","Jamestown","Johnston","Lincoln","Little.Compton","Middletown","Narragansett","New.Shoreham","Newport","North.Kingstown","North.Providence","North.Smithfield","Pawtucket","Portsmouth","Providence","Richmond","Scituate","Smithfield","South.Kingstown","Tiverton","Warren","Warwick","West.Greenwich","West.Warwick","Westerly","Woonsocket"
"28",339,371,372,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"29",334,334,363,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"30",332,328,334,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"31",275,239,229,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"32",228,216,272,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"33",318,305,313,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"34",395,391,397,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"35",380,345,358,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"36",325,362,376,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"37",388,370,379,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"38",405,394,406,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"39",373,361,361,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"40",385,409,414,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"41",312,321,299,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"42",352,336,345,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"43",416,437,457,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"44",396,347,433,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"45",325,332,345,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"46",383,395,391,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"47",481,433,484,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"48",324,339,336,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"49",313,291,311,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"50",295,301,318,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"51",317,295,281,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"52",388,341,361,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"53",338,336,321,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"54",292,321,322,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"55",283,278,300,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"56",324,297,327,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"57",366,379,353,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"58",494,439,498,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"59",325,361,347,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"60",350,318,305,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"61",290,310,293,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"62",338,304,307,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
