,od_death_2026,Barrington,Bristol,Burrillville,Central.Falls,Charlestown,Coventry,Cranston,Cumberland,East.Greenwich,East.Providence,Exeter,Foster,Glocester,Hopkinton,Jamestown,Johnston,Lincoln,Little.Compton,Middletown,Narragansett,New.Shoreham,Newport,North.Kingstown,North.Providence,North.Smithfield,Pawtucket,Portsmouth,Providence,Richmond,Scituate,Smithfield,South.Kingstown,Tiverton,Warren,Warwick,West.Greenwich,West.Warwick,Westerly,Woonsocket
26,342.89,661.649057958122,1175.78143143998,871.555710539471,1002.29423572225,541.927317778551,1255.67647669763,4178.9770078096,2235.18540673189,449.654877097473,2224.9207064926,195.428061539654,23.0883162808494,313.213789553347,685.103756364064,491.822814901474,1609.99560942404,1277.30419350635,358.715130085811,718.799281159833,1050.99982257825,0.0404593208601539,1486.67668809176,1074.90053709893,1687.36893581659,388.974071774228,3490.52094738114,866.831596772539,6572.31142993463,335.966335562005,544.425824676482,1144.46230078087,1557.33678535706,674.112251936797,432.671561889782,3740.50339626067,264.100153778606,1637.36011533124,874.838896768377,1904.5047078076
83,342.9,580.853417927631,1123.64140076491,886.07764055586,1039.94443071785,566.710574438946,1372.40149345854,4028.0328536591,2167.00031513005,397.169616796431,2209.80223492565,167.814804902061,0.612760876949027,321.406348045706,731.730336429315,492.499405703885,1613.56231996462,1285.90203529338,314.758457838041,742.050948416573,1100.74358700773,0.114524731706427,1533.92995281957,1018.52748580167,1670.55393276893,430.525872835019,3516.0497748457,919.372179317049,6529.82814497225,336.600436479356,537.008850653053,1096.60475340032,1518.99202899206,645.684613281561,434.967506840049,4032.3338211375,251.964293081254,1652.57616365485,881.588475110605,1850.06220631472
27,342.9,605.274531525733,1196.03347661492,983.520943170576,1080.59342331615,552.805594544675,1456.62813292069,4076.35326494976,2108.03766598889,421.781317732422,2158.84433354336,193.975023434385,1.52090896689362,276.465957179124,764.800981972631,535.79184418036,1623.4453528825,1301.71911020623,327.809710010742,745.68416707865,1089.12044016389,0.0491836244890974,1408.30970973049,939.597161359609,1636.65616012933,371.374049933755,3488.21323884684,913.822470460476,6670.24213160565,290.292597864798,532.017599425128,1115.53153026068,1480.49417085008,634.548751859129,369.423578162012,3867.60943236685,296.869466631983,1734.23866393846,877.25020730718,1873.25371536491
5,342.92,664.373242437579,1227.08559216346,963.234010761213,1038.99856250421,413.131740763137,1385.5564114807,3909.51346001698,2241.31724377782,377.108328919775,2103.80836006213,170.003013687779,3.1409376642443,305.765589074507,735.747638223474,530.616670037055,1598.14072918208,1247.65388172893,292.247637988476,697.743237288902,1123.77075735044,0.0305279939421511,1583.48828956967,982.072269465475,1603.26367526222,418.506614894604,3671.86239980992,947.428053551825,7227.04034545933,364.554300668191,411.401323489333,1274.26139680254,1376.36657527547,624.29978262297,328.40466915295,3533.60250988038,232.486937180987,1741.54099898236,783.215626943129,1867.21665788182
51,342.97,625.222265119354,1119.9905830554,897.703117207046,1059.30811619625,607.11292607068,1325.49969828968,4142.59914935283,2164.06628058173,394.606837783172,2214.48748451636,168.918723678759,2.90423145856304,290.986442240434,728.705214256865,501.661678994766,1617.72658127282,1295.47922969145,333.950305181391,761.182715043213,1083.93116834528,0.0654378659544882,1518.7585511439,977.929912359273,1711.68042254984,370.350982217794,3525.76103114293,893.334139109451,6524.92842144003,323.96773652374,554.322771092819,1123.63833462783,1509.35121848244,643.506488446786,370.252022140105,3843.42906643261,269.07529626279,1689.72309045196,937.311009530599,1876.57131984324
91,342.97,514.40871719222,1148.48992993285,828.470630222112,993.905269696024,526.939403602883,1424.1142744787,3982.87086992378,2203.37566324256,414.817246633528,2294.47230022923,160.299916844127,0.0486834133946244,369.470569407933,709.69271450772,492.183900808638,1615.44159230921,1311.75230817729,308.527488316974,733.897728467526,1119.76219572028,0.0994642918941205,1543.39160188355,1069.02723236101,1699.19484928204,444.066999463802,3396.86492076237,947.883022005249,6613.44369127936,320.040531550144,551.426003600551,1138.75422655519,1593.11770190826,624.427486145295,369.582204430679,3913.62341994394,190.454428375637,1649.15491944061,946.081873325246,1836.42402038497
31,342.98,624.192603755629,1184.67907925668,937.551549362928,1046.24317430693,522.526972614742,1485.52332175605,3945.80181043375,2143.74498025635,477.3097703807,2135.31775812152,194.777828189859,47.8487419956016,281.105181634328,733.179703248097,551.816140748443,1594.65328870436,1276.34718794749,327.785118075425,743.510625206353,1103.3575918794,0.068736042121528,1427.16968938515,931.70628191243,1611.39761110605,395.064507993636,3466.32601177846,894.566061628823,6797.85065815825,279.560494084736,541.060841740396,1144.76847314095,1617.40343117428,643.253492986699,329.211773355799,3864.14866533885,291.31183495451,1710.57353752386,859.615289788546,1837.67017922708
33,343.03,607.544169861726,1152.93567599856,883.062798074241,1031.52212781451,579.241938314131,1474.03657972846,3975.40572262191,2173.83895547644,442.672681784762,2225.32466600097,174.427230278843,0.0671968647373556,314.098394470106,721.243857764766,495.187297023575,1599.71785249539,1299.58575835483,301.327115220446,757.612208913193,1132.91420180603,0.112968487234928,1572.62331332056,922.367285892932,1682.81179214139,386.875252802748,3409.90679223746,933.091974304038,6641.89375595298,300.388802530632,565.033041361586,1164.87237047204,1684.97045185775,612.220484703687,213.63299405487,3753.35879871329,239.164063448619,1740.4970279756,948.833258504428,1885.57914237054
8,343.03,607.05567994144,1326.89581015538,797.718971428862,993.120894620814,414.133712157865,1537.8607513878,3794.46743315602,2267.8503750626,442.859501715579,2028.7453804586,218.807446676355,2.08118213474342,375.322771705022,766.664215009196,490.745261564097,1517.44889772598,1204.34170093977,286.06291056546,740.156966800583,1132.37945848461,0.0720199048039114,1560.2134911232,981.205402252671,1478.87006347369,507.387738175348,3340.38815774529,988.16832470741,7492.64818468701,308.06802173511,511.797794016233,1237.99557705813,1698.28271944442,693.034948508572,144.815956481605,3522.67044907581,232.761881204441,1637.35936656907,760.812863049446,1958.72771909852
16,343.03,584.395049947508,1155.25880994561,914.362817611314,1010.4062766429,537.131055417468,1413.41912797155,3966.0493360714,2205.12615886625,444.176931887081,2218.7039321858,185.430647329872,2.25063492978059,306.513849472003,699.458857058594,495.860388825783,1660.07038415339,1312.89685431472,326.015151941858,715.183601551603,1112.99326973421,0.0183638646975608,1511.65844424856,987.687798468249,1653.21274988642,432.181648873066,3395.4542743586,931.808268324699,6670.98075239168,329.134788290448,527.708522466667,1187.58427187076,1613.61305076912,607.936945831424,361.474761840604,3851.82300503062,227.84798773535,1665.32364177566,906.231581624649,1872.61599384545
