"","od_death_2024","od_death_2025","od_death_2026","Barrington","Bristol","Burrillville","Central.Falls","Charlestown","Coventry","Cranston","Cumberland","East.Greenwich","East.Providence","Exeter","Foster","Glocester","Hopkinton","Jamestown","Johnston","Lincoln","Little.Compton","Middletown","Narragansett","New.Shoreham","Newport","North.Kingstown","North.Providence","North.Smithfield","Pawtucket","Portsmouth","Providence","Richmond","Scituate","Smithfield","South.Kingstown","Tiverton","Warren","Warwick","West.Greenwich","West.Warwick","Westerly","Woonsocket"
"30",338,356,357,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"31",272,262,269,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"32",244,231,302,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"33",343,315,346,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"34",410,410,432,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"35",396,374,374,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"36",338,377,379,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"37",400,394,404,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"38",404,402,442,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"39",394,392,383,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"40",387,420,425,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"41",322,344,316,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"42",367,360,364,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"43",428,453,478,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"44",403,354,431,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"45",356,371,382,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"46",394,417,411,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"47",474,423,489,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"48",335,377,341,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"49",338,326,349,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"50",305,330,334,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"51",330,332,316,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"52",391,353,374,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"53",344,354,341,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"54",300,375,345,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"55",303,301,328,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"56",318,320,355,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"57",374,393,364,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"58",504,452,505,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"59",326,371,356,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"60",352,347,322,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"61",308,354,317,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"62",345,311,337,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"63",453,475,448,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"64",316,326,344,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"65",433,428,453,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"66",329,383,350,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"67",335,272,309,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"68",329,297,341,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"69",332,282,333,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"70",325,358,373,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"71",424,364,445,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"72",391,387,446,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"73",435,463,431,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"74",340,292,372,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"75",366,357,337,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"76",331,296,312,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"77",284,296,312,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"78",372,368,383,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"79",305,287,305,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"80",264,202,249,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
